IDpol,ClaimNb,ds,Exposure,y,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
1,1,14/04/2025,0.1,D,5,0,55,50,B12,Regular,1217,R82
3,1,25/03/2025,0.77,D,5,0,55,50,B12,Regular,1217,R82
5,1,14/05/2025,0.75,B,6,2,52,50,B12,Diesel,54,R22
10,1,18/06/2025,0.09,B,7,0,46,50,B12,Diesel,76,R72
11,1,14/11/2024,0.84,B,7,0,46,50,B12,Diesel,76,R72
13,1,30/01/2025,0.52,E,6,2,38,50,B12,Regular,3003,R31
15,1,10/06/2025,0.45,E,6,2,38,50,B12,Regular,3003,R31
17,1,06/01/2025,0.27,C,7,0,33,68,B12,Diesel,137,R91
18,1,24/01/2025,0.71,C,7,0,33,68,B12,Diesel,137,R91
21,1,21/05/2025,0.15,B,7,0,41,50,B12,Diesel,60,R52
25,1,12/07/2025,0.75,B,7,0,41,50,B12,Diesel,60,R52
27,1,16/07/2025,0.87,C,7,0,56,50,B12,Diesel,173,R93
30,1,17/06/2025,0.81,D,4,1,27,90,B12,Regular,695,R72
32,1,26/06/2025,0.05,D,4,0,27,90,B12,Regular,695,R72
35,1,13/05/2025,0.76,E,4,9,23,100,B6,Regular,7887,R31
36,1,25/03/2025,0.34,F,9,0,44,76,B12,Regular,27000,R11
38,1,03/10/2024,0.1,A,6,2,32,56,B12,Diesel,23,R24
42,1,25/07/2025,0.77,A,6,2,32,56,B12,Diesel,23,R24
44,1,30/05/2025,0.74,A,6,2,55,50,B12,Regular,37,R94
45,1,18/06/2025,0.1,A,6,2,55,50,B12,Regular,37,R94
47,1,16/01/2025,0.03,A,6,2,55,50,B12,Regular,37,R94
49,2,15/03/2025,0.81,E,7,0,73,50,B12,Regular,3317,R93
50,1,09/05/2025,0.06,E,7,0,73,50,B12,Regular,3317,R93
52,1,29/03/2025,0.1,B,6,8,27,76,B3,Diesel,85,R93
53,1,24/01/2025,0.55,D,5,0,33,100,B12,Regular,1746,R11
54,1,07/02/2025,0.19,D,5,0,33,100,B12,Regular,1746,R11
55,1,11/12/2024,0.01,D,5,0,33,100,B12,Regular,1746,R11
58,1,24/01/2025,0.03,C,5,0,59,50,B12,Regular,455,R91
59,1,09/07/2025,0.79,C,5,0,59,50,B12,Regular,455,R91
60,2,11/02/2025,0.04,C,5,0,59,50,B12,Regular,455,R91
62,1,12/05/2025,0.87,D,5,0,54,50,B12,Regular,781,R31
65,1,15/04/2025,0.87,D,15,0,44,71,B12,Diesel,1110,R94
67,1,14/03/2025,0.8,D,5,0,69,52,B12,Regular,1376,R11
68,1,02/06/2025,0.07,D,5,0,69,52,B12,Regular,1376,R11
72,1,12/06/2025,0.39,D,4,0,23,85,B12,Regular,533,R93
73,1,09/12/2024,0.47,D,4,0,23,85,B12,Regular,533,R93
77,1,10/12/2024,0.69,A,6,0,60,51,B12,Diesel,12,R83
78,1,11/02/2025,0.16,A,6,0,60,51,B12,Diesel,12,R83
80,1,10/12/2024,0.12,E,9,0,43,50,B12,Regular,7752,R11
82,1,12/03/2025,0.76,E,9,0,43,50,B12,Regular,7752,R11
84,1,20/06/2025,0.81,E,8,0,50,54,B12,Regular,3545,R11
86,1,05/04/2025,0.05,E,8,0,50,54,B12,Regular,3545,R11
88,1,10/07/2025,0.16,E,10,8,30,80,B12,Regular,3661,R11
90,1,09/01/2025,0.71,E,10,8,30,80,B12,Regular,3661,R11
92,1,12/04/2025,0.41,B,4,0,30,80,B12,Regular,77,R93
94,1,28/01/2025,0.46,B,4,0,30,80,B12,Regular,77,R93
96,1,05/02/2025,0.07,C,5,0,52,50,B12,Regular,162,R93
97,1,17/06/2025,0.82,C,5,0,52,50,B12,Regular,162,R93
100,1,25/07/2025,0.87,C,5,0,73,50,B12,Regular,174,R31
102,2,21/04/2025,0.75,C,5,0,33,66,B12,Regular,151,R82
104,1,27/05/2025,0.11,C,5,0,33,66,B12,Regular,151,R82
107,1,09/01/2025,0.08,C,9,0,45,50,B12,Regular,120,R83
108,1,10/04/2025,0.02,C,9,0,45,50,B12,Regular,120,R83
109,1,29/07/2025,0.77,C,9,0,45,50,B12,Regular,120,R83
112,1,03/06/2025,0.1,E,9,4,40,72,B12,Regular,3366,R11
113,1,02/05/2025,0.84,E,9,4,40,72,B12,Regular,3366,R11
115,1,30/07/2025,0.72,D,5,0,45,50,B12,Regular,965,R54
117,1,24/03/2025,0.14,D,5,0,45,50,B12,Regular,965,R54
120,1,12/07/2025,0.79,C,6,0,37,55,B12,Diesel,303,R11
121,1,30/07/2025,0.05,C,6,0,37,55,B12,Diesel,303,R11
122,1,25/08/2025,0.07,C,6,0,37,55,B12,Diesel,303,R11
124,1,23/08/2025,0.5,B,5,1,28,68,B3,Diesel,85,R26
127,1,02/07/2025,0.02,B,7,1,28,72,B12,Regular,85,R26
129,1,01/07/2025,0.34,B,7,1,28,68,B12,Regular,85,R26
133,1,03/07/2025,0.87,B,4,0,67,50,B12,Regular,87,R22
137,1,26/06/2025,0.92,E,4,0,62,50,B12,Regular,8549,R82
139,1,12/08/2025,0.75,F,7,1,61,50,B12,Regular,27000,R11
142,1,06/05/2025,0.9,C,10,10,42,50,B12,Diesel,116,R93
145,1,25/02/2025,0.81,A,6,0,62,90,B12,Regular,49,R53
147,1,26/06/2025,0.05,A,6,0,62,90,B12,Regular,49,R53
148,1,21/02/2025,0.12,C,5,0,55,50,B12,Regular,480,R22
149,1,10/06/2025,0.06,C,5,0,55,50,B12,Regular,480,R22
150,1,11/07/2025,0.11,C,15,0,51,50,B12,Diesel,480,R22
151,2,18/08/2025,0.04,C,15,0,55,50,B12,Diesel,480,R22
153,1,14/08/2025,0.74,C,7,0,59,50,B12,Regular,364,R73
155,1,18/08/2025,0.12,C,7,0,59,50,B12,Regular,364,R73
158,1,30/12/2024,0.07,D,7,0,51,50,B12,Regular,721,R93
159,1,18/02/2025,0.79,D,7,0,51,50,B12,Regular,721,R93
161,1,16/10/2024,0.81,E,5,0,53,50,B12,Regular,3430,R93
163,1,09/04/2025,0.05,E,5,0,53,50,B12,Regular,3430,R93
166,1,02/05/2025,0.09,E,4,0,55,50,B12,Regular,2715,R93
